ubigeo_departamento,departamento,ubigeo_provincia,provincia,ubigeo_distrito,distrito,total_asistentes,pct_total_asistentes,total_ausentes,pct_total_ausentes,electores_habiles,date_upd,hour_upd,pct_avance
010000,AMAZONAS,010400,LUYA,010407,LONGUITA,463,61.001,296,38.999,759,2021-04-19,11:49,97.708
010000,AMAZONAS,010400,LUYA,010408,LONYA CHICO,398,50.38,392,49.62,790,2021-04-19,11:49,97.708
010000,AMAZONAS,010400,LUYA,010409,LUYA,2101,71.148,852,28.852,2953,2021-04-19,11:49,97.708
010000,AMAZONAS,010400,LUYA,010410,LUYA VIEJO,237,72.256,91,27.744,328,2021-04-19,11:49,97.708
010000,AMAZONAS,010400,LUYA,010411,MARIA,440,59.864,295,40.136,735,2021-04-19,11:49,97.708
010000,AMAZONAS,010400,LUYA,010412,OCALLI,1572,64.745,856,35.255,2428,2021-04-19,11:49,97.708
010000,AMAZONAS,010400,LUYA,010413,OCUMAL,1581,59.683,1068,40.317,2649,2021-04-19,11:49,97.708
010000,AMAZONAS,010400,LUYA,010414,PISUQUIA,1375,36.194,2424,63.806,3799,2021-04-19,11:49,97.708
010000,AMAZONAS,010400,LUYA,010423,PROVIDENCIA,388,35.959,691,64.041,1079,2021-04-19,11:49,97.708
010000,AMAZONAS,010400,LUYA,010415,SAN CRISTOBAL,344,64.906,186,35.094,530,2021-04-19,11:49,97.708
010000,AMAZONAS,010400,LUYA,010416,SAN FRANCISCO DEL YESO,372,62.416,224,37.584,596,2021-04-19,11:49,97.708
010000,AMAZONAS,010400,LUYA,010417,SAN JERONIMO,249,34.874,465,65.126,714,2021-04-19,11:49,97.708
010000,AMAZONAS,010400,LUYA,010418,SAN JUAN DE LOPECANCHA,213,45.032,260,54.968,473,2021-04-19,11:49,97.708
010000,AMAZONAS,010400,LUYA,010419,SANTA CATALINA,663,50.961,638,49.039,1301,2021-04-19,11:49,97.708
010000,AMAZONAS,010400,LUYA,010420,SANTO TOMAS,1220,47.141,1368,52.859,2588,2021-04-19,11:49,97.708
010000,AMAZONAS,010400,LUYA,010421,TINGO,722,65.28,384,34.72,1106,2021-04-19,11:49,97.708
010000,AMAZONAS,010400,LUYA,010422,TRITA,721,75.182,238,24.818,959,2021-04-19,11:49,97.708
010000,AMAZONAS,010500,RODRIGUEZ DE MENDOZA,010503,CHIRIMOTO,745,42.234,1019,57.766,1764,2021-04-19,11:49,97.708
010000,AMAZONAS,010500,RODRIGUEZ DE MENDOZA,010502,COCHAMAL,452,74.959,151,25.041,603,2021-04-19,11:49,97.708
010000,AMAZONAS,010500,RODRIGUEZ DE MENDOZA,010504,HUAMBO,1520,65.972,784,34.028,2304,2021-04-19,11:49,97.708
010000,AMAZONAS,010500,RODRIGUEZ DE MENDOZA,010505,LIMABAMBA,775,57.196,580,42.804,1355,2021-04-19,11:49,97.708
010000,AMAZONAS,010500,RODRIGUEZ DE MENDOZA,010506,LONGAR,937,68.645,428,31.355,1365,2021-04-19,11:49,97.708
010000,AMAZONAS,010500,RODRIGUEZ DE MENDOZA,010508,MARISCAL BENAVIDES,1057,68.995,475,31.005,1532,2021-04-19,11:49,97.708
010000,AMAZONAS,010500,RODRIGUEZ DE MENDOZA,010507,MILPUCC,326,56.993,246,43.007,572,2021-04-19,11:49,97.708
010000,AMAZONAS,010500,RODRIGUEZ DE MENDOZA,010509,OMIA,3608,52.511,3263,47.489,6871,2021-04-19,11:49,97.708
010000,AMAZONAS,010500,RODRIGUEZ DE MENDOZA,010501,SAN NICOLAS,2415,63.519,1387,36.481,3802,2021-04-19,11:49,97.708
010000,AMAZONAS,010500,RODRIGUEZ DE MENDOZA,010510,SANTA ROSA,326,66.395,165,33.605,491,2021-04-19,11:49,97.708
010000,AMAZONAS,010500,RODRIGUEZ DE MENDOZA,010511,TOTORA,225,55.283,182,44.717,407,2021-04-19,11:49,97.708
010000,AMAZONAS,010500,RODRIGUEZ DE MENDOZA,010512,VISTA ALEGRE,865,47.527,955,52.473,1820,2021-04-19,11:49,97.708
010000,AMAZONAS,010700,UTCUBAMBA,010701,BAGUA GRANDE,25239,66.078,12957,33.922,38196,2021-04-19,11:49,97.708
010000,AMAZONAS,010700,UTCUBAMBA,010702,CAJARURO,12796,65.01,6887,34.99,19683,2021-04-19,11:49,97.708
010000,AMAZONAS,010700,UTCUBAMBA,010703,CUMBA,4035,66.529,2030,33.471,6065,2021-04-19,11:49,97.708
010000,AMAZONAS,010700,UTCUBAMBA,010704,EL MILAGRO,2648,67.689,1264,32.311,3912,2021-04-19,11:49,97.708
010000,AMAZONAS,010700,UTCUBAMBA,010705,JAMALCA,2828,63.224,1645,36.776,4473,2021-04-19,11:49,97.708
010000,AMAZONAS,010700,UTCUBAMBA,010706,LONYA GRANDE,4583,66.739,2284,33.261,6867,2021-04-19,11:49,97.708
010000,AMAZONAS,010700,UTCUBAMBA,010707,YAMON,1428,54.173,1208,45.827,2636,2021-04-19,11:49,97.708
020000,ANCASH,020100,HUARAZ,020103,COCHABAMBA,634,40.772,921,59.228,1555,2021-04-19,11:49,97.708
020000,ANCASH,020100,HUARAZ,020104,COLCABAMBA,145,51.418,137,48.582,282,2021-04-19,11:49,97.708
020000,ANCASH,020100,HUARAZ,020105,HUANCHAY,955,57.151,716,42.849,1671,2021-04-19,11:49,97.708
020000,ANCASH,020100,HUARAZ,020101,HUARAZ,37359,73.569,13422,26.431,50781,2021-04-19,11:49,97.708
020000,ANCASH,020100,HUARAZ,020102,INDEPENDENCIA,39782,74.483,13629,25.517,53411,2021-04-19,11:49,97.708
020000,ANCASH,020100,HUARAZ,020106,JANGAS,3379,80.915,797,19.085,4176,2021-04-19,11:49,97.708
020000,ANCASH,020100,HUARAZ,020107,LA LIBERTAD,735,62.821,435,37.179,1170,2021-04-19,11:49,97.708
020000,ANCASH,020100,HUARAZ,020108,OLLEROS,1907,73.318,694,26.682,2601,2021-04-19,11:49,97.708
020000,ANCASH,020100,HUARAZ,020109,PAMPAS GRANDE,567,53.189,499,46.811,1066,2021-04-19,11:49,97.708
020000,ANCASH,020100,HUARAZ,020110,PARIACOTO,2502,62.613,1494,37.387,3996,2021-04-19,11:49,97.708
020000,ANCASH,020100,HUARAZ,020111,PIRA,2184,66.302,1110,33.698,3294,2021-04-19,11:49,97.708
020000,ANCASH,020100,HUARAZ,020112,TARICA,4044,79.606,1036,20.394,5080,2021-04-19,11:49,97.708
020000,ANCASH,020200,AIJA,020201,AIJA,945,59.546,642,40.454,1587,2021-04-19,11:49,97.708
020000,ANCASH,020200,AIJA,020203,CORIS,791,55.665,630,44.335,1421,2021-04-19,11:49,97.708
020000,ANCASH,020200,AIJA,020205,HUACLLAN,251,64.524,138,35.476,389,2021-04-19,11:49,97.708
020000,ANCASH,020200,AIJA,020206,LA MERCED,1205,69.452,530,30.548,1735,2021-04-19,11:49,97.708
020000,ANCASH,020200,AIJA,020208,SUCCHA,394,57.518,291,42.482,685,2021-04-19,11:49,97.708
020000,ANCASH,021600,ANTONIO RAIMONDI,021602,ACZO,898,59.549,610,40.451,1508,2021-04-19,11:49,97.708
020000,ANCASH,021600,ANTONIO RAIMONDI,021603,CHACCHO,722,56.231,562,43.769,1284,2021-04-19,11:49,97.708
020000,ANCASH,021600,ANTONIO RAIMONDI,021604,CHINGAS,931,66.834,462,33.166,1393,2021-04-19,11:49,97.708
020000,ANCASH,021600,ANTONIO RAIMONDI,021601,LLAMELLIN,1317,60.86,847,39.14,2164,2021-04-19,11:49,97.708
020000,ANCASH,021600,ANTONIO RAIMONDI,021605,MIRGAS,1947,55.203,1580,44.797,3527,2021-04-19,11:49,97.708
020000,ANCASH,021600,ANTONIO RAIMONDI,021606,SAN JUAN DE RONTOY,494,47.273,551,52.727,1045,2021-04-19,11:49,97.708
020000,ANCASH,021800,ASUNCION,021802,ACOCHACA,1597,61.684,992,38.316,2589,2021-04-19,11:49,97.708
020000,ANCASH,021800,ASUNCION,021801,CHACAS,2358,69.784,1021,30.216,3379,2021-04-19,11:49,97.708
