ubigeo,departamento,provincia,distrito,ELECTORES_HABIL,TOT_CIUDADANOS_VOTARON,POR_CIUDADANOS_VOTARON,POR_ACTAS_CONTABILIZADAS,POR_ACTAS_PROCESADAS,ACTAS_PROCESADAS,POR_PROCESAR,CONTABILIZA,POR_POR_PROCESAR,N_CANDIDATOS,date_upd,hour_upd,pct_avance
170303,MADRE DE DIOS,TAHUAMANU,TAHUAMANU,4168,3077,73.824,88.235,100,17,0,15,0,0,2021-04-16,17:51,95.5667
180101,MOQUEGUA,MARISCAL NIETO,MOQUEGUA,24033,16930,70.445,100,100,83,0,83,0,0,2021-04-16,17:51,95.5667
180103,MOQUEGUA,MARISCAL NIETO,CUCHUMBAYA,3278,1856,56.62,100,100,11,0,11,0,0,2021-04-16,17:51,95.5667
180104,MOQUEGUA,MARISCAL NIETO,SAMEGUA,5540,3996,72.13,100,100,19,0,19,0,0,2021-04-16,17:51,95.5667
180105,MOQUEGUA,MARISCAL NIETO,SAN CRISTOBAL,5893,3913,66.401,100,100,20,0,20,0,0,2021-04-16,17:51,95.5667
180106,MOQUEGUA,MARISCAL NIETO,TORATA,3794,2745,72.351,100,100,13,0,13,0,0,2021-04-16,17:51,95.5667
180201,MOQUEGUA,GENERAL SANCHEZ CERRO,OMATE,10056,6852,68.138,100,100,34,0,34,0,0,2021-04-16,17:51,95.5667
180202,MOQUEGUA,GENERAL SANCHEZ CERRO,CHOJATA,1906,1097,57.555,100,100,7,0,7,0,0,2021-04-16,17:51,95.5667
180203,MOQUEGUA,GENERAL SANCHEZ CERRO,COALAQUE,577,345,59.792,100,100,2,0,2,0,0,2021-04-16,17:51,95.5667
180204,MOQUEGUA,GENERAL SANCHEZ CERRO,ICHUÑA,2055,1130,54.988,100,100,8,0,8,0,0,2021-04-16,17:51,95.5667
180205,MOQUEGUA,GENERAL SANCHEZ CERRO,LA CAPILLA,1266,844,66.667,100,100,5,0,5,0,0,2021-04-16,17:51,95.5667
180206,MOQUEGUA,GENERAL SANCHEZ CERRO,LLOQUE,4840,2936,60.661,100,100,17,0,17,0,0,2021-04-16,17:51,95.5667
180207,MOQUEGUA,GENERAL SANCHEZ CERRO,MATALAQUE,1930,1368,70.881,100,100,7,0,7,0,0,2021-04-16,17:51,95.5667
180208,MOQUEGUA,GENERAL SANCHEZ CERRO,PUQUINA,1380,797,57.754,100,100,5,0,5,0,0,2021-04-16,17:51,95.5667
180301,MOQUEGUA,ILO,ILO,12914,8721,67.531,97.778,100,45,0,44,0,0,2021-04-16,17:51,95.5667
180302,MOQUEGUA,ILO,EL ALGARROBAL,3422,2343,68.469,92.308,100,13,0,12,0,0,2021-04-16,17:51,95.5667
180303,MOQUEGUA,ILO,PACOCHA,4607,3245,70.436,88.889,100,18,0,16,0,0,2021-04-16,17:51,95.5667
190101,PASCO,PASCO,CHAUPIMARCA,142055,93212,65.617,97.938,100,485,0,475,0,0,2021-04-16,17:51,95.5667
190103,PASCO,PASCO,HUARIACA,107299,73845,68.822,94.832,100,387,0,367,0,0,2021-04-16,17:51,95.5667
190104,PASCO,PASCO,HUAYLLAY,50327,35575,70.688,91.935,100,186,0,171,0,0,2021-04-16,17:51,95.5667
190105,PASCO,PASCO,NINACACA,25874,16994,65.68,92,100,100,0,92,0,0,2021-04-16,17:51,95.5667
190106,PASCO,PASCO,PALLANCHACRA,26896,19564,72.739,92.157,100,102,0,94,0,0,2021-04-16,17:51,95.5667
190107,PASCO,PASCO,PAUCARTAMBO,19576,10148,51.839,88.312,100,77,0,68,0,0,2021-04-16,17:51,95.5667
190109,PASCO,PASCO,SIMON BOLIVAR,70641,48682,68.915,92.83,100,265,0,246,0,0,2021-04-16,17:51,95.5667
190113,PASCO,PASCO,YANACANCHA,11941,8899,74.525,93.333,100,45,0,42,0,0,2021-04-16,17:51,95.5667
190201,PASCO,DANIEL ALCIDES CARRION,YANAHUANCA,25263,6287,24.886,95.506,100,89,0,85,0,0,2021-04-16,17:51,95.5667
190202,PASCO,DANIEL ALCIDES CARRION,CHACAYAN,15692,5116,32.603,96.552,100,58,0,56,0,0,2021-04-16,17:51,95.5667
190203,PASCO,DANIEL ALCIDES CARRION,GOYLLARISQUIZGA,4619,1568,33.947,94.118,100,17,0,16,0,0,2021-04-16,17:51,95.5667
190204,PASCO,DANIEL ALCIDES CARRION,PAUCAR,5208,2920,56.068,100,100,18,0,18,0,0,2021-04-16,17:51,95.5667
190205,PASCO,DANIEL ALCIDES CARRION,SAN PEDRO DE PILLAO,15649,6359,40.635,94.737,100,57,0,54,0,0,2021-04-16,17:51,95.5667
190206,PASCO,DANIEL ALCIDES CARRION,SANTA ANA DE TUSI,7586,3144,41.445,92.857,100,28,0,26,0,0,2021-04-16,17:51,95.5667
190207,PASCO,DANIEL ALCIDES CARRION,TAPUC,1416,495,34.958,71.429,100,7,0,5,0,0,2021-04-16,17:51,95.5667
190208,PASCO,DANIEL ALCIDES CARRION,VILCABAMBA,8496,4814,56.662,90.625,100,32,0,29,0,0,2021-04-16,17:51,95.5667
190301,PASCO,OXAPAMPA,OXAPAMPA,21003,11610,55.278,92.208,100,77,0,71,0,0,2021-04-16,17:51,95.5667
190302,PASCO,OXAPAMPA,CHONTABAMBA,6430,3341,51.96,100,100,22,0,22,0,0,2021-04-16,17:51,95.5667
190303,PASCO,OXAPAMPA,HUANCABAMBA,26385,14744,55.88,95.96,100,99,0,95,0,0,2021-04-16,17:51,95.5667
190304,PASCO,OXAPAMPA,PALCAZU,5373,3333,62.032,95,100,20,0,19,0,0,2021-04-16,17:51,95.5667
190305,PASCO,OXAPAMPA,POZUZO,7061,4445,62.951,89.655,100,29,0,26,0,0,2021-04-16,17:51,95.5667
190306,PASCO,OXAPAMPA,PUERTO BERMUDEZ,8659,4532,52.339,90.909,100,33,0,30,0,0,2021-04-16,17:51,95.5667
