ubigeo,departamento,provincia,distrito,cod_partido,partido,total_votos,nlista,pct_validos,pct_emitidos,candidato,date_upd,hour_upd,pct_avance
010102,AMAZONAS,CHACHAPOYAS,ASUNCION,00000008,JUNTOS POR EL PERU,6,10,6.667,5.263,VERONIKA FANNY MENDOZA FRISCH,2021-04-13,11:46,91.0842
010102,AMAZONAS,CHACHAPOYAS,ASUNCION,00000015,PARTIDO POPULAR CRISTIANO - PPC,0,11,0,0,ALBERTO ISMAEL BEINGOLEA DELGADO,2021-04-13,11:46,91.0842
010102,AMAZONAS,CHACHAPOYAS,ASUNCION,00000007,FUERZA POPULAR,6,12,6.667,5.263,KEIKO SOFIA FUJIMORI HIGUCHI,2021-04-13,11:46,91.0842
010102,AMAZONAS,CHACHAPOYAS,ASUNCION,00000021,UNION POR EL PERU,0,14,0,0,JOSE ALEJANDRO VEGA ANTONIO,2021-04-13,11:46,91.0842
010102,AMAZONAS,CHACHAPOYAS,ASUNCION,00000020,RENOVACION POPULAR,6,15,6.667,5.263,RAFAEL BERNARDO LOPEZ ALIAGA CAZORLA,2021-04-13,11:46,91.0842
010102,AMAZONAS,CHACHAPOYAS,ASUNCION,00000019,RENACIMIENTO UNIDO NACIONAL,1,16,1.111,0.877,CIRO ALFREDO GALVEZ HERRERA,2021-04-13,11:46,91.0842
010102,AMAZONAS,CHACHAPOYAS,ASUNCION,00000010,PARTIDO DEMOCRATICO SOMOS PERU,3,17,3.333,2.632,DANIEL ENRIQUE SALAVERRY VILLA,2021-04-13,11:46,91.0842
010102,AMAZONAS,CHACHAPOYAS,ASUNCION,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,14,18,15.556,12.281,JOSE PEDRO CASTILLO TERRONES,2021-04-13,11:46,91.0842
010102,AMAZONAS,CHACHAPOYAS,ASUNCION,00000004,DEMOCRACIA DIRECTA,0,19,0,0,ANDRES AVELINO ALCANTARA PAREDES,2021-04-13,11:46,91.0842
010102,AMAZONAS,CHACHAPOYAS,ASUNCION,00000002,ALIANZA PARA EL PROGRESO,8,20,8.889,7.018,CESAR ACUÑA PERALTA,2021-04-13,11:46,91.0842
010103,AMAZONAS,CHACHAPOYAS,BALSAS,00000012,PARTIDO NACIONALISTA PERUANO,9,2,2.528,1.786,OLLANTA MOISES HUMALA TASSO,2021-04-13,11:46,91.0842
010103,AMAZONAS,CHACHAPOYAS,BALSAS,00000005,"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",3,3,0.843,0.595,MARCO ANTONIO ARANA ZEGARRA,2021-04-13,11:46,91.0842
010103,AMAZONAS,CHACHAPOYAS,BALSAS,00000011,PARTIDO MORADO,5,4,1.404,0.992,JULIO ARMANDO GUZMAN CACERES,2021-04-13,11:46,91.0842
010103,AMAZONAS,CHACHAPOYAS,BALSAS,00000017,PERU PATRIA SEGURA,1,5,0.281,0.198,RAFAEL GASTON TADEO MILAGROS SANTOS NORMAND,2021-04-13,11:46,91.0842
010103,AMAZONAS,CHACHAPOYAS,BALSAS,00000022,VICTORIA NACIONAL,25,6,7.022,4.96,GEORGE PATRICK FORSYTH SOMMER,2021-04-13,11:46,91.0842
010103,AMAZONAS,CHACHAPOYAS,BALSAS,00000001,ACCION POPULAR,52,7,14.607,10.317,YONHY LESCANO ANCIETA,2021-04-13,11:46,91.0842
010103,AMAZONAS,CHACHAPOYAS,BALSAS,00000003,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,4,8,1.124,0.794,HERNANDO DE SOTO POLAR,2021-04-13,11:46,91.0842
010103,AMAZONAS,CHACHAPOYAS,BALSAS,00000018,PODEMOS PERU,2,9,0.562,0.397,DANIEL BELIZARIO URRESTI ELERA,2021-04-13,11:46,91.0842
010103,AMAZONAS,CHACHAPOYAS,BALSAS,00000008,JUNTOS POR EL PERU,28,10,7.865,5.556,VERONIKA FANNY MENDOZA FRISCH,2021-04-13,11:46,91.0842
010103,AMAZONAS,CHACHAPOYAS,BALSAS,00000015,PARTIDO POPULAR CRISTIANO - PPC,1,11,0.281,0.198,ALBERTO ISMAEL BEINGOLEA DELGADO,2021-04-13,11:46,91.0842
010103,AMAZONAS,CHACHAPOYAS,BALSAS,00000007,FUERZA POPULAR,49,12,13.764,9.722,KEIKO SOFIA FUJIMORI HIGUCHI,2021-04-13,11:46,91.0842
010103,AMAZONAS,CHACHAPOYAS,BALSAS,00000021,UNION POR EL PERU,2,14,0.562,0.397,JOSE ALEJANDRO VEGA ANTONIO,2021-04-13,11:46,91.0842
010103,AMAZONAS,CHACHAPOYAS,BALSAS,00000020,RENOVACION POPULAR,21,15,5.899,4.167,RAFAEL BERNARDO LOPEZ ALIAGA CAZORLA,2021-04-13,11:46,91.0842
010103,AMAZONAS,CHACHAPOYAS,BALSAS,00000019,RENACIMIENTO UNIDO NACIONAL,2,16,0.562,0.397,CIRO ALFREDO GALVEZ HERRERA,2021-04-13,11:46,91.0842
010103,AMAZONAS,CHACHAPOYAS,BALSAS,00000010,PARTIDO DEMOCRATICO SOMOS PERU,10,17,2.809,1.984,DANIEL ENRIQUE SALAVERRY VILLA,2021-04-13,11:46,91.0842
010103,AMAZONAS,CHACHAPOYAS,BALSAS,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,117,18,32.865,23.214,JOSE PEDRO CASTILLO TERRONES,2021-04-13,11:46,91.0842
010103,AMAZONAS,CHACHAPOYAS,BALSAS,00000004,DEMOCRACIA DIRECTA,0,19,0,0,ANDRES AVELINO ALCANTARA PAREDES,2021-04-13,11:46,91.0842
010103,AMAZONAS,CHACHAPOYAS,BALSAS,00000002,ALIANZA PARA EL PROGRESO,25,20,7.022,4.96,CESAR ACUÑA PERALTA,2021-04-13,11:46,91.0842
010104,AMAZONAS,CHACHAPOYAS,CHETO,00000012,PARTIDO NACIONALISTA PERUANO,29,2,9.797,7.056,OLLANTA MOISES HUMALA TASSO,2021-04-13,11:46,91.0842
010104,AMAZONAS,CHACHAPOYAS,CHETO,00000005,"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",18,3,6.081,4.38,MARCO ANTONIO ARANA ZEGARRA,2021-04-13,11:46,91.0842
010104,AMAZONAS,CHACHAPOYAS,CHETO,00000011,PARTIDO MORADO,4,4,1.351,0.973,JULIO ARMANDO GUZMAN CACERES,2021-04-13,11:46,91.0842
010104,AMAZONAS,CHACHAPOYAS,CHETO,00000017,PERU PATRIA SEGURA,0,5,0,0,RAFAEL GASTON TADEO MILAGROS SANTOS NORMAND,2021-04-13,11:46,91.0842
010104,AMAZONAS,CHACHAPOYAS,CHETO,00000022,VICTORIA NACIONAL,9,6,3.041,2.19,GEORGE PATRICK FORSYTH SOMMER,2021-04-13,11:46,91.0842
010104,AMAZONAS,CHACHAPOYAS,CHETO,00000001,ACCION POPULAR,47,7,15.878,11.436,YONHY LESCANO ANCIETA,2021-04-13,11:46,91.0842
010104,AMAZONAS,CHACHAPOYAS,CHETO,00000003,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,14,8,4.73,3.406,HERNANDO DE SOTO POLAR,2021-04-13,11:46,91.0842
010104,AMAZONAS,CHACHAPOYAS,CHETO,00000018,PODEMOS PERU,2,9,0.676,0.487,DANIEL BELIZARIO URRESTI ELERA,2021-04-13,11:46,91.0842
010104,AMAZONAS,CHACHAPOYAS,CHETO,00000008,JUNTOS POR EL PERU,37,10,12.5,9.002,VERONIKA FANNY MENDOZA FRISCH,2021-04-13,11:46,91.0842
010104,AMAZONAS,CHACHAPOYAS,CHETO,00000015,PARTIDO POPULAR CRISTIANO - PPC,2,11,0.676,0.487,ALBERTO ISMAEL BEINGOLEA DELGADO,2021-04-13,11:46,91.0842
010104,AMAZONAS,CHACHAPOYAS,CHETO,00000007,FUERZA POPULAR,29,12,9.797,7.056,KEIKO SOFIA FUJIMORI HIGUCHI,2021-04-13,11:46,91.0842
010104,AMAZONAS,CHACHAPOYAS,CHETO,00000021,UNION POR EL PERU,1,14,0.338,0.243,JOSE ALEJANDRO VEGA ANTONIO,2021-04-13,11:46,91.0842
010104,AMAZONAS,CHACHAPOYAS,CHETO,00000020,RENOVACION POPULAR,26,15,8.784,6.326,RAFAEL BERNARDO LOPEZ ALIAGA CAZORLA,2021-04-13,11:46,91.0842
010104,AMAZONAS,CHACHAPOYAS,CHETO,00000019,RENACIMIENTO UNIDO NACIONAL,1,16,0.338,0.243,CIRO ALFREDO GALVEZ HERRERA,2021-04-13,11:46,91.0842
010104,AMAZONAS,CHACHAPOYAS,CHETO,00000010,PARTIDO DEMOCRATICO SOMOS PERU,1,17,0.338,0.243,DANIEL ENRIQUE SALAVERRY VILLA,2021-04-13,11:46,91.0842
010104,AMAZONAS,CHACHAPOYAS,CHETO,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,44,18,14.865,10.706,JOSE PEDRO CASTILLO TERRONES,2021-04-13,11:46,91.0842
010104,AMAZONAS,CHACHAPOYAS,CHETO,00000004,DEMOCRACIA DIRECTA,0,19,0,0,ANDRES AVELINO ALCANTARA PAREDES,2021-04-13,11:46,91.0842
010104,AMAZONAS,CHACHAPOYAS,CHETO,00000002,ALIANZA PARA EL PROGRESO,32,20,10.811,7.786,CESAR ACUÑA PERALTA,2021-04-13,11:46,91.0842
010105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,00000012,PARTIDO NACIONALISTA PERUANO,14,2,6.364,4.321,OLLANTA MOISES HUMALA TASSO,2021-04-13,11:46,91.0842
010105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,00000005,"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",2,3,0.909,0.617,MARCO ANTONIO ARANA ZEGARRA,2021-04-13,11:46,91.0842
010105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,00000011,PARTIDO MORADO,1,4,0.455,0.309,JULIO ARMANDO GUZMAN CACERES,2021-04-13,11:46,91.0842
010105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,00000017,PERU PATRIA SEGURA,1,5,0.455,0.309,RAFAEL GASTON TADEO MILAGROS SANTOS NORMAND,2021-04-13,11:46,91.0842
010105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,00000022,VICTORIA NACIONAL,2,6,0.909,0.617,GEORGE PATRICK FORSYTH SOMMER,2021-04-13,11:46,91.0842
010105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,00000001,ACCION POPULAR,28,7,12.727,8.642,YONHY LESCANO ANCIETA,2021-04-13,11:46,91.0842
010105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,00000003,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,3,8,1.364,0.926,HERNANDO DE SOTO POLAR,2021-04-13,11:46,91.0842
010105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,00000018,PODEMOS PERU,2,9,0.909,0.617,DANIEL BELIZARIO URRESTI ELERA,2021-04-13,11:46,91.0842
010105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,00000008,JUNTOS POR EL PERU,14,10,6.364,4.321,VERONIKA FANNY MENDOZA FRISCH,2021-04-13,11:46,91.0842
010105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,00000015,PARTIDO POPULAR CRISTIANO - PPC,0,11,0,0,ALBERTO ISMAEL BEINGOLEA DELGADO,2021-04-13,11:46,91.0842
010105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,00000007,FUERZA POPULAR,88,12,40,27.16,KEIKO SOFIA FUJIMORI HIGUCHI,2021-04-13,11:46,91.0842
010105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,00000021,UNION POR EL PERU,1,14,0.455,0.309,JOSE ALEJANDRO VEGA ANTONIO,2021-04-13,11:46,91.0842
010105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,00000020,RENOVACION POPULAR,6,15,2.727,1.852,RAFAEL BERNARDO LOPEZ ALIAGA CAZORLA,2021-04-13,11:46,91.0842
010105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,00000019,RENACIMIENTO UNIDO NACIONAL,3,16,1.364,0.926,CIRO ALFREDO GALVEZ HERRERA,2021-04-13,11:46,91.0842
010105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,00000010,PARTIDO DEMOCRATICO SOMOS PERU,0,17,0,0,DANIEL ENRIQUE SALAVERRY VILLA,2021-04-13,11:46,91.0842
010105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,00000014,PARTIDO POLITICO NACIONAL PERU LIBRE,41,18,18.636,12.654,JOSE PEDRO CASTILLO TERRONES,2021-04-13,11:46,91.0842
010105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,00000004,DEMOCRACIA DIRECTA,2,19,0.909,0.617,ANDRES AVELINO ALCANTARA PAREDES,2021-04-13,11:46,91.0842
010105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,00000002,ALIANZA PARA EL PROGRESO,12,20,5.455,3.704,CESAR ACUÑA PERALTA,2021-04-13,11:46,91.0842
